Create a Dora-the-Explorer style cartoon illustration of Camilo a 23-year-old Colombian male research intern with curly dark hair spreading research materials across a conference table covered with colorful sticky notes and medical journal articles looking analytical and focused, using thick black outlines, flat bright colors, and expressive cartoon faces
Create a Dora-the-Explorer style cartoon illustration of Dr. Young Erben a 35-year-old female vascular surgeon with dark hair in ponytail entering a conference room looking amused at Camilo's research command center setup with papers everywhere, using thick black outlines, flat bright colors, and expressive cartoon faces
Create a Dora-the-Explorer style cartoon illustration of Camilo presenting carotid artery anatomy on a whiteboard showing the neck blood vessels with labels for common carotid, internal carotid, and external carotid arteries, using thick black outlines, flat bright colors, and educational illustration style
Create a Dora-the-Explorer style cartoon illustration of Dr. Young Erben asking probing questions to Camilo in a mentor-student dynamic with thought bubbles showing question marks and light bulbs in a conference room setting, using thick black outlines, flat bright colors, and expressive cartoon faces
Create a Dora-the-Explorer style cartoon illustration of Dr. Young Erben and Camilo walking together through a hospital corridor toward the vascular lab with both looking engaged in discussion, using thick black outlines, flat bright colors, and expressive cartoon faces showing anticipation
Create a Dora-the-Explorer style cartoon illustration of a vascular lab scene with an ultrasound technician imaging a patient's neck while Camilo watches attentively from the side with an ultrasound machine and monitor visible, using thick black outlines, flat bright colors, and expressive cartoon faces
Create a Dora-the-Explorer style cartoon illustration of an ultrasound screen showing a grayscale image of the carotid bifurcation with a bright calcified plaque visible and arrows pointing to the internal and external carotid branches, using thick black outlines, flat bright colors, and clear medical labels
Create a Dora-the-Explorer style cartoon illustration of an ultrasound screen showing color Doppler view with red and blue colors indicating blood flow direction through carotid arteries with explanatory labels for flow direction, using thick black outlines, flat bright colors, and educational style
Create a Dora-the-Explorer style cartoon illustration of an ultrasound screen showing spectral waveform display with velocity measurements and a peak labeled PSV 250 cm/s with Dr. Erben pointing at the screen, using thick black outlines, flat bright colors, and educational labels
Create a Dora-the-Explorer style cartoon illustration of Dr. Young Erben explaining the water-hose analogy for stenosis with a thought bubble showing a kinked hose with water speeding up through the narrow section, using thick black outlines, flat bright colors, and expressive cartoon faces
Create a Dora-the-Explorer style cartoon illustration of Mrs. Yamamoto a 68-year-old Japanese female retired professor looking elegant but anxious sitting in an exam room with Camilo and Dr. Erben, using thick black outlines, flat bright colors, and expressive cartoon faces showing concern
Create a Dora-the-Explorer style cartoon illustration of Mrs. Yamamoto describing her TIA experience with a thought bubble showing her hand unable to hold a pen and jumbled letters representing speech difficulty, using thick black outlines, flat bright colors, and expressive cartoon faces
Create a Dora-the-Explorer style cartoon illustration showing a brain diagram with the left side highlighted and arrows showing it controls right body movement and speech with labels explaining crossed brain function, using thick black outlines, flat bright colors, and educational style
Create a Dora-the-Explorer style cartoon illustration of an ultrasound screen showing 85% stenosis measurement of the left internal carotid artery with the narrowing clearly visible and percentage labeled, using thick black outlines, flat bright colors, and clinical illustration style
Create a Dora-the-Explorer style cartoon illustration of Dr. Erben explaining the warning stroke concept to Mrs. Yamamoto with a speech bubble containing the words TIA equals Warning with an exclamation mark, using thick black outlines, flat bright colors, and expressive cartoon faces
Create a Dora-the-Explorer style cartoon illustration of Mrs. Yamamoto mentioning her daughter insisted she seek care with a thought bubble showing a concerned young woman representing family support, using thick black outlines, flat bright colors, and expressive cartoon faces showing gratitude
Create a Dora-the-Explorer style cartoon illustration of an operating room scene with Dr. Young Erben in surgical scrubs performing carotid endarterectomy while Camilo observes with focused attention from the side, using thick black outlines, flat bright colors, and expressive cartoon faces
Create a Dora-the-Explorer style cartoon illustration of Camilo, Diego, and Camila in a study room reviewing presentation slides on a laptop with Diego adjusting his glasses and Camila looking impressed, using thick black outlines, flat bright colors, and expressive cartoon faces showing team support
Create a Dora-the-Explorer style cartoon illustration of grand rounds presentation with Camilo standing confidently at a podium showing slides about carotid stenosis to an audience of attending physicians, using thick black outlines, flat bright colors, and expressive cartoon faces showing confidence
Create a Dora-the-Explorer style cartoon illustration of attending physicians in an audience asking questions with raised hands while Camilo responds confidently from the podium, using thick black outlines, flat bright colors, and expressive cartoon faces showing academic discussion
Create a Dora-the-Explorer style cartoon illustration of audience members applauding after Camilo's presentation with clapping hands and smiling faces in a lecture hall setting, using thick black outlines, flat bright colors, and expressive cartoon faces showing appreciation
Create a Dora-the-Explorer style cartoon illustration of Dr. Erben congratulating Camilo with a proud handshake and beaming smile after his successful grand rounds presentation, using thick black outlines, flat bright colors, and expressive cartoon faces showing mentor pride
Create a Dora-the-Explorer style cartoon illustration of Camilo smiling with a thought bubble showing his future vision as a vascular surgeon helping prevent strokes with images of healthy arteries and grateful patients, using thick black outlines, flat bright colors, and expressive cartoon faces showing inspiration
